CODITEM,ERROR_MEDIO
30369,6.891891317076045
30371,4.80446091479338
30372,29.63055740383121
30373,16.238442392522284
30375,4.554124007936506
30376,4.785519228069845
30377,25.93932814652667
30378,4.659422775604078
30386,3.653994277686555
30388,5.305832248347817
30389,38.16482962856426
30390,13.444238276571802
30392,4.90651165372913
30397,1.5066755362851103
30401,2.3779667894537666
30412,41.86287217179535
30413,137.48
30414,31.12183511919064
30423,4.655661124975573
30433,44.90929967254968
30435,39.691682539682546
30451,35.33244444444444
30452,19.080964431401934
30469,0.6479181580298099
30486,0.9885105345623635
30491,1.8781760379548433
30505,67.28458432539682
30512,12.74862111759819
30532,8.300916666666666
90001,1.3041593335426365
90002,0.9625923618951188
90003,1.602156107189522
90004,1.9155115673393355
90005,0.6261833852876562
90006,1.5548077601888108
90007,1.1719837594506095
AAPP-001,5.380778404401927
AAPP-003,17.977500000000006
AAPP-005,37.55525
AAPP-006,7.36821456925452
AAPP-007,2.0425972682319076
AAPP-010,38.67403571428572
AAPP-011,40.08622424115845
AAPP-013,37.25175099206349
AAPP-017,0.5406483568192249
AAPP-038,4.2749834715808
AAPP-046,4.503588553886275
AAPP-050,8.421515648191045
OF1-024,2.167549289752921
